Local Route,Light Rail,Peak Service,Rapid Route,School,Other
2136,909,23,2215,0,25
590,433,0,1016,0,11
8432,6021,172,10552,4,44
8889,6077,113,11132,2966,4
4339,6542,0,8932,0,22
18955,12275,470,25228,5665,0
12712,8500,249,14190,911,47
16113,9808,246,16822,5178,91
21,577,0,49,0,0
14108,8154,322,15402,5170,61
16725,10456,351,19473,4826,92
10372,7411,273,13369,5,59
7127,5241,142,10067,0,8
13363,8790,227,15117,4590,54
15612,9075,252,16471,4890,98
15917,9295,319,17484,5160,58
12307,6055,192,11891,5195,49
12437,10255,315,19115,0,0
4878,6506,0,8932,0,21
5057,6692,0,7379,0,1
15096,11170,343,19353,1922,106
13538,8600,254,14832,2988,49
2345,2973,0,4511,0,18
18831,12491,439,26140,5497,1
14224,10015,268,16799,2268,72
9798,5040,140,9354,4516,67
2687,4929,0,7061,0,21
17732,12303,285,19920,5404,68
9651,7544,174,13305,0,0
3241,4816,0,6232,0,27
6154,9985,69,10609,0,1
13638,10823,362,19086,0,80
1268,2517,0,2850,0,12
18342,11333,432,20730,5993,73
10707,7812,161,12696,596,52
13587,8360,265,14944,4111,44
11248,8832,317,14783,0,57
3022,4736,0,6342,0,21
13149,5827,247,12978,5084,51
15810,11057,262,19274,4372,84
19431,12269,479,26158,5835,0
16112,11302,313,19714,4964,66
2741,4863,0,6946,0,13
13093,8338,228,15085,4394,32
3772,8419,0,6935,0,24
12217,10407,314,17834,0,36
2035,853,24,2189,0,28
14939,9916,227,16962,4006,62
14023,9187,261,16260,4319,39
13054,9140,311,15966,42,52
708,585,0,1217,0,10
14506,9955,258,16735,4284,115
14579,10075,341,17638,2831,72
10815,6909,216,12610,854,44
1616,2475,0,3771,0,22
2174,3638,0,5068,0,45
17675,11307,422,23598,5681,0
4892,6279,0,9158,0,24
10950,5173,172,10853,4996,55
17360,11712,465,23467,4705,1
1918,3625,0,4776,0,20
11002,5388,112,10088,5151,55
10356,7905,351,15447,0,0
14028,8768,263,15588,4916,118
18703,12607,346,25086,5447,0
16883,10790,375,23007,5284,14
13394,7584,198,13614,4672,65
9635,7788,226,12984,0,72
10254,7869,277,13742,0,48
61,0,0,101,0,0
18179,11701,496,24422,5790,0
2891,5593,0,7065,0,19
3584,3486,0,4761,0,3
15491,7963,330,19246,5873,0
2626,4124,0,6481,0,21
2251,3621,0,4833,0,26
3186,4406,0,5835,0,28
18951,11915,373,25302,5882,0
2614,3950,0,5203,0,3
13698,9132,232,16254,1945,61
10711,6942,280,12890,0,45
11504,5692,156,11230,5247,55
15957,9623,205,17175,4850,68
2748,4329,0,6366,0,21
3582,6057,0,7179,0,16
13445,8019,278,14531,4690,80
16614,10940,336,19728,5921,144
18492,13384,329,25249,4745,0
13027,6466,157,12947,5466,55
16607,9711,236,16941,5569,57
2865,4472,0,6323,0,0
2031,2942,0,4909,0,33
2035,3536,0,5237,0,24
17619,12503,403,22310,2266,90
1155,2768,0,3000,0,8
10814,5837,171,11165,4109,34
2040,4185,0,5374,0,27
3156,4913,0,6445,0,26
2396,3371,0,5185,0,0
13976,11549,391,19837,0,82
15506,8650,230,15651,5317,79
17209,10776,347,20138,5537,78
18179,12743,337,24242,5251,1
4233,6813,0,8613,0,32
18958,12303,411,21981,5823,88
2448,4364,0,6487,0,29
11556,9933,312,16001,0,52
2510,1025,16,2530,0,26
2704,4861,0,6791,0,19
13895,8761,271,15661,4206,54
8822,6028,200,10349,0,28
11337,8671,262,14881,0,66
16791,11800,387,20936,4684,113
5732,3548,73,6644,0,25
3717,1952,70,4411,131,19
16680,11726,347,20438,4738,99
