Local Route,Light Rail,Peak Service,Rapid Route,School,Other
12828,9451,277,15889,679,70
18614,12644,384,25079,5224,0
11689,9680,309,16250,0,49
3580,4356,0,6425,0,18
3181,5651,0,7180,0,8
14281,9948,269,16941,2811,42
4248,2987,12,4744,0,31
2670,4615,0,6727,0,13
947,892,0,1569,0,0
10397,6065,134,11144,4115,38
10321,5114,122,9626,4910,51
5447,7090,0,7922,0,0
4003,2449,133,5846,108,0
16764,9151,280,17836,5839,99
14071,9746,221,15947,4199,50
16451,9619,347,17927,5171,65
17730,11484,436,24233,5704,0
2369,989,24,2407,0,23
16384,11381,238,20144,4708,72
12099,7798,177,13846,2940,57
12202,6435,143,11899,5591,59
17048,10892,350,18756,5162,66
15799,11026,256,18641,4859,83
16928,11291,304,20763,5036,101
7872,3510,78,7119,2116,63
2718,4322,0,6499,0,51
1910,3759,0,4918,0,21
12513,6712,161,12778,4808,46
2252,4891,0,6560,0,15
15799,9347,215,16832,5684,43
706,889,0,1468,0,2
10974,7946,265,14248,0,58
14974,9894,232,17648,3816,65
11694,5756,167,11698,5384,42
1810,2725,0,4055,0,27
10779,5642,160,10635,4314,65
3708,5759,0,7436,0,33
15089,12660,426,24221,0,1
12530,10259,378,18402,0,71
1966,3213,0,4514,0,11
12743,9704,370,19481,0,2
20171,12442,493,27226,6571,35
2431,1046,20,2326,0,27
20009,14789,403,27732,5099,0
11342,5503,239,11623,4938,37
2094,3260,0,4717,0,15
11722,6337,157,11965,4892,49
14492,9646,266,16659,3916,176
2448,4337,0,5949,0,23
8319,4023,71,8072,2024,42
16892,9733,320,18152,5769,85
2618,4153,0,5880,0,18
3186,5064,0,7001,0,0
13325,6968,273,13565,5488,47
4103,6483,0,9145,13,22
18155,11450,392,20665,5971,123
18722,11596,445,25349,5945,76
18814,11527,498,24134,5922,0
15475,10479,371,18701,4730,70
18520,11127,379,20624,6550,77
3898,6625,0,9358,0,3
3857,6066,0,8963,0,0
8962,5841,190,10557,0,30
17301,11173,351,20921,5004,65
2086,3431,0,4734,0,22
11101,7148,214,12939,3347,42
4126,5234,0,7066,0,0
